1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Epoch 125/1000... Training accuracy.: 0.95525; testing accuracy.: 0.94000
Training loss: 1.50884; testing loss: 1.52199;
-------------------------------------------------------------------------------------------
Epoch 126/1000... Training accuracy.: 0.95518; testing accuracy.: 0.92500
Training loss: 1.50881; testing loss: 1.53547;
-------------------------------------------------------------------------------------------
Epoch 127/1000... Training accuracy.: 0.95523; testing accuracy.: 0.91000
Training loss: 1.50882; testing loss: 1.54645;
-------------------------------------------------------------------------------------------
Epoch 128/1000... Training accuracy.: 0.95538; testing accuracy.: 0.89500
Training loss: 1.50876; testing loss: 1.56822;
-------------------------------------------------------------------------------------------
Epoch 129/1000... Training accuracy.: 0.95537; testing accuracy.: 0.93500
Training loss: 1.50867; testing loss: 1.53412;
-------------------------------------------------------------------------------------------
Epoch 130/1000... Training accuracy.: 0.95532; testing accuracy.: 0.93000
Training loss: 1.50870; testing loss: 1.52795;
-------------------------------------------------------------------------------------------
Epoch 131/1000... Training accuracy.: 0.95543; testing accuracy.: 0.94000
Training loss: 1.50866; testing loss: 1.52431;
-------------------------------------------------------------------------------------------
Epoch 132/1000... Training accuracy.: 0.95533; testing accuracy.: 0.92500
Training loss: 1.50865; testing loss: 1.53544;
-------------------------------------------------------------------------------------------
Epoch 133/1000... Training accuracy.: 0.95537; testing accuracy.: 0.90000
Training loss: 1.50855; testing loss: 1.55875;
-------------------------------------------------------------------------------------------
Epoch 134/1000... Training accuracy.: 0.95540; testing accuracy.: 0.91000
Training loss: 1.50853; testing loss: 1.54864;
-------------------------------------------------------------------------------------------
Epoch 135/1000... Training accuracy.: 0.95553; testing accuracy.: 0.93500
Training loss: 1.50849; testing loss: 1.52251;
-------------------------------------------------------------------------------------------
Epoch 136/1000... Training accuracy.: 0.95562; testing accuracy.: 0.88000
Training loss: 1.50850; testing loss: 1.58061;
-------------------------------------------------------------------------------------------
Epoch 137/1000... Training accuracy.: 0.95545; testing accuracy.: 0.96000
Training loss: 1.50847; testing loss: 1.50122;
-------------------------------------------------------------------------------------------
Epoch 138/1000... Training accuracy.: 0.95552; testing accuracy.: 0.92500
Training loss: 1.50843; testing loss: 1.53482;
-------------------------------------------------------------------------------------------
Epoch 139/1000... Training accuracy.: 0.95553; testing accuracy.: 0.93500
Training loss: 1.50841; testing loss: 1.52678;
-------------------------------------------------------------------------------------------
Epoch 140/1000... Training accuracy.: 0.95550; testing accuracy.: 0.93500
Training loss: 1.50838; testing loss: 1.52184;
-------------------------------------------------------------------------------------------
Epoch 141/1000... Training accuracy.: 0.95563; testing accuracy.: 0.93500
Training loss: 1.50838; testing loss: 1.52407;
-------------------------------------------------------------------------------------------
Epoch 142/1000... Training accuracy.: 0.95557; testing accuracy.: 0.94000
Training loss: 1.50833; testing loss: 1.52028;
-------------------------------------------------------------------------------------------
Epoch 143/1000... Training accuracy.: 0.95563; testing accuracy.: 0.90000
Training loss: 1.50828; testing loss: 1.55666;
-------------------------------------------------------------------------------------------
Epoch 144/1000... Training accuracy.: 0.95552; testing accuracy.: 0.93000
Training loss: 1.50833; testing loss: 1.52827;
-------------------------------------------------------------------------------------------
Epoch 145/1000... Training accuracy.: 0.95565; testing accuracy.: 0.90500
Training loss: 1.50826; testing loss: 1.55511;
-------------------------------------------------------------------------------------------
Epoch 146/1000... Training accuracy.: 0.95562; testing accuracy.: 0.92000
Training loss: 1.50826; testing loss: 1.53889;
-------------------------------------------------------------------------------------------
Epoch 147/1000... Training accuracy.: 0.95560; testing accuracy.: 0.92000
Training loss: 1.50819; testing loss: 1.54193;
-------------------------------------------------------------------------------------------
Epoch 148/1000... Training accuracy.: 0.95563; testing accuracy.: 0.92000
Training loss: 1.50819; testing loss: 1.54438;
-------------------------------------------------------------------------------------------
Epoch 149/1000... Training accuracy.: 0.95565; testing accuracy.: 0.90000
Training loss: 1.50807; testing loss: 1.55792;
-------------------------------------------------------------------------------------------
Epoch 150/1000... Training accuracy.: 0.95570; testing accuracy.: 0.90000
Training loss: 1.50812; testing loss: 1.56051;
-------------------------------------------------------------------------------------------
Epoch 151/1000... Training accuracy.: 0.95575; testing accuracy.: 0.91500
Training loss: 1.50812; testing loss: 1.54553;
-------------------------------------------------------------------------------------------
Epoch 152/1000... Training accuracy.: 0.95568; testing accuracy.: 0.95000
Training loss: 1.50807; testing loss: 1.50762;
-------------------------------------------------------------------------------------------
Epoch 153/1000... Training accuracy.: 0.95570; testing accuracy.: 0.95500
Training loss: 1.50801; testing loss: 1.50910;
-------------------------------------------------------------------------------------------
Epoch 154/1000... Training accuracy.: 0.95575; testing accuracy.: 0.92500
Training loss: 1.50803; testing loss: 1.53257;
-------------------------------------------------------------------------------------------
Epoch 155/1000... Training accuracy.: 0.95573; testing accuracy.: 0.90500
Training loss: 1.50799; testing loss: 1.55832;
-------------------------------------------------------------------------------------------
Epoch 156/1000... Training accuracy.: 0.95575; testing accuracy.: 0.90500
Training loss: 1.50796; testing loss: 1.54913;
-------------------------------------------------------------------------------------------
Epoch 157/1000... Training accuracy.: 0.95568; testing accuracy.: 0.89000
Training loss: 1.50795; testing loss: 1.56740;
-------------------------------------------------------------------------------------------
Epoch 158/1000... Training accuracy.: 0.95585; testing accuracy.: 0.93500
Training loss: 1.50790; testing loss: 1.52328;
-------------------------------------------------------------------------------------------
Epoch 159/1000... Training accuracy.: 0.95580; testing accuracy.: 0.92500
